1,21L,22B(BA.5.2.48),22B(BF.7),22B(Other),22D,22E,22F,23A,23B,23C,23D,23E,23F,23H,recombinant
2022-10-23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-30,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-06,0,153,8,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-13,0,324,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,0,337,5,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-27,0,465,91,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-04,0,253,29,1,0,0,0,0,0,0,0,0,0,0,0
2022-12-11,0,95,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-12-18,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-25,0,114,15,1,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,0,115,10,1,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,0,117,18,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-15,0,82,13,1,0,0,0,0,0,0,0,0,0,0,0
2023-01-22,0,52,14,1,3,0,0,0,0,0,0,0,0,0,0
2023-01-29,1,22,5,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-05,0,18,8,0,1,0,0,1,0,0,0,0,0,0,0
2023-02-12,0,28,10,0,2,0,0,0,0,0,0,0,0,0,0
2023-02-19,0,23,11,0,1,0,0,0,0,0,0,0,0,0,0
2023-02-26,2,49,11,0,2,0,1,5,0,0,0,0,0,0,0
2023-03-05,0,29,15,0,0,1,0,3,0,0,2,1,0,0,0
2023-03-12,0,11,16,0,0,0,0,0,1,0,1,0,0,0,0
2023-03-19,0,11,5,0,0,0,0,1,0,0,0,0,0,0,0
2023-03-26,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0
2023-04-02,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0
2023-04-09,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0
2023-04-16,0,1,7,0,0,0,1,0,4,0,16,1,0,0,0
2023-04-23,0,4,0,0,0,0,1,2,12,0,67,1,5,0,0
2023-04-30,0,0,3,0,0,0,5,19,13,0,78,6,10,0,0
2023-05-07,0,0,0,0,0,0,14,18,56,0,128,3,4,0,0
2023-05-14,0,0,0,0,1,0,16,8,53,0,117,4,6,0,0
2023-05-21,0,1,0,0,15,0,59,45,186,0,301,22,35,0,4
2023-05-28,1,0,0,0,16,0,54,38,150,0,245,16,36,0,2
2023-06-04,0,0,0,0,2,0,42,17,96,1,164,18,38,0,1
2023-06-11,0,0,0,0,7,0,40,10,79,0,101,9,40,0,2
2023-06-18,0,0,0,0,3,0,33,10,55,0,41,2,28,0,1
2023-06-25,0,0,0,0,2,0,25,8,44,1,48,9,36,1,1
2023-07-02,0,0,0,0,0,0,24,4,34,0,47,5,41,0,1
2023-07-09,0,0,0,0,1,0,7,0,7,0,13,1,16,0,0
